DEBUG flwr 2023-04-13 06:28:32,740 | server.py:179 | evaluate_round 52 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:28:32,740 | server.py:215 | fit_round 53: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:29:17,706 | server.py:229 | fit_round 53 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:29:17,738 | server.py:165 | evaluate_round 53: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:32:17,537 | server.py:179 | evaluate_round 53 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:32:17,537 | server.py:215 | fit_round 54: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:33:02,615 | server.py:229 | fit_round 54 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:33:02,647 | server.py:165 | evaluate_round 54: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:36:01,854 | server.py:179 | evaluate_round 54 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:36:01,854 | server.py:215 | fit_round 55: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:36:46,419 | server.py:229 | fit_round 55 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:36:46,451 | server.py:165 | evaluate_round 55: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:39:46,697 | server.py:179 | evaluate_round 55 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:39:46,698 | server.py:215 | fit_round 56: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:40:31,963 | server.py:229 | fit_round 56 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:40:31,995 | server.py:165 | evaluate_round 56: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:43:32,047 | server.py:179 | evaluate_round 56 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:43:32,048 | server.py:215 | fit_round 57: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:44:15,833 | server.py:229 | fit_round 57 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:44:15,865 | server.py:165 | evaluate_round 57: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:47:15,039 | server.py:179 | evaluate_round 57 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:47:15,040 | server.py:215 | fit_round 58: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:47:59,642 | server.py:229 | fit_round 58 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:47:59,673 | server.py:165 | evaluate_round 58: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:50:59,993 | server.py:179 | evaluate_round 58 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:50:59,993 | server.py:215 | fit_round 59: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:51:46,151 | server.py:229 | fit_round 59 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:51:46,183 | server.py:165 | evaluate_round 59: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:54:47,937 | server.py:179 | evaluate_round 59 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:54:47,939 | server.py:215 | fit_round 60: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:55:33,571 | server.py:229 | fit_round 60 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:55:33,603 | server.py:165 | evaluate_round 60: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:58:34,653 | server.py:179 | evaluate_round 60 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:58:34,653 | server.py:215 | fit_round 61: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 06:59:20,901 | server.py:229 | fit_round 61 received 34 results and 0 failures
DEBUG flwr 2023-04-13 06:59:20,933 | server.py:165 | evaluate_round 61: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 07:02:21,762 | server.py:179 | evaluate_round 61 received 34 results and 0 failures
DEBUG flwr 2023-04-13 07:02:21,762 | server.py:215 | fit_round 62: strategy sampled 34 clients (out of 34)
DEBUG flwr 2023-04-13 07:03:07,247 | server.py:229 | fit_round 62 received 34 results and 0 failures
DEBUG flwr 2023-04-13 07:03:07,279 | server.py:165 | evaluate_round 62: strategy sampled 34 clients (out of 34)
